images,z,x
03_12_2020_0\output_0006\0000985_z07_x07.jpg,7,7
03_09_2020_1\output_0043\0000255_z01_x06.jpg,1,6
03_06_2020_0\output_0004\0000070_z00_x06.jpg,0,6
03_12_2020_0\output_0005\0000507_z07_x07.jpg,7,7
03_12_2020_0\output_0010\0000136_z05_x07.jpg,5,7
JetBot\2021-10-08-20-32\0001056_z05_x07.jpg,5,7
03_09_2020_1\output_0035\0000592_z03_x06.jpg,3,6
03_10_2020_1\output_0011\0000179_z00_x06.jpg,0,6
03_13_2020_1\output_0005\0000835_z02_x06.jpg,2,6
03_06_2020_0\output_0009\0001606_z02_x07.jpg,2,7
03_12_2020_0\output_0004\0000651_z07_x07.jpg,7,7
03_09_2020_1\output_0030\0000269_z01_x06.jpg,1,6
03_12_2020_0\output_0011\0000560_z07_x06.jpg,7,6
03_09_2020_1\output_0014\0000276_z00_x07.jpg,0,7
03_06_2020_0\output_0004\0000603_z00_x07.jpg,0,7
03_12_2020_0\output_0003\0000099_z05_x07.jpg,5,7
03_12_2020_0\output_0001\0001058_z09_x06.jpg,9,6
03_06_2020_0\output_0011\0001195_z02_x08.jpg,2,8
03_16_2020_0\output_0003\0000502_z07_x07.jpg,7,7
03_06_2020_0\output_0009\0001067_z01_x07.jpg,1,7
03_09_2020_1\output_0041\0000334_z02_x07.jpg,2,7
03_12_2020_0\output_0012\0000593_z07_x07.jpg,7,7
03_10_2020_1\output_0014\0000556_z05_x06.jpg,5,6
03_09_2020_1\output_0019\0000212_z00_x06.jpg,0,6
03_13_2020_0\output_0007\0000384_z06_x07.jpg,6,7
03_09_2020_1\output_0030\0000909_z03_x07.jpg,3,7
03_09_2020_1\output_0042\0000740_z03_x07.jpg,3,7
03_06_2020_0\output_0002\0001036_z08_x06.jpg,8,6
03_10_2020_1\output_0010\0000032_z03_x06.jpg,3,6
03_10_2020_1\output_0003\0000331_z00_x06.jpg,0,6
03_13_2020_1\output_0005\0000419_z02_x07.jpg,2,7
03_16_2020_0\output_0003\0000287_z09_x06.jpg,9,6
03_16_2020_0\output_0003\0000139_z05_x07.jpg,5,7
03_13_2020_1\output_0006\0000656_z02_x06.jpg,2,6
03_12_2020_0\output_0010\0000146_z08_x07.jpg,8,7
03_13_2020_1\output_0000\0000670_z05_x06.jpg,5,6
03_09_2020_1\output_0018\0000413_z04_x06.jpg,4,6
03_12_2020_0\output_0013\0000609_z08_x07.jpg,8,7
03_09_2020_1\output_0031\0000241_z05_x07.jpg,5,7
03_09_2020_1\output_0043\0000071_z02_x07.jpg,2,7
03_12_2020_0\output_0003\0000422_z08_x07.jpg,8,7
03_13_2020_1\output_0007\0000874_z02_x06.jpg,2,6
03_09_2020_1\output_0026\0000339_z03_x07.jpg,3,7
03_12_2020_0\output_0009\0000613_z05_x07.jpg,5,7
03_10_2020_1\output_0006\0000671_z05_x06.jpg,5,6
03_09_2020_1\output_0025\0000528_z04_x07.jpg,4,7
03_12_2020_0\output_0007\0000378_z08_x07.jpg,8,7
03_06_2020_0\output_0011\0001193_z03_x08.jpg,3,8
03_06_2020_0\output_0009\0001002_z00_x07.jpg,0,7
03_12_2020_0\output_0004\0000721_z07_x07.jpg,7,7
03_13_2020_1\output_0002\0000214_z01_x06.jpg,1,6
03_13_2020_0\output_0007\0000460_z07_x08.jpg,7,8
03_13_2020_1\output_0013\0000532_z05_x07.jpg,5,7
03_10_2020_1\output_0007\0000271_z04_x06.jpg,4,6
03_10_2020_1\output_0015\0000349_z05_x06.jpg,5,6
03_09_2020_1\output_0030\0000891_z01_x07.jpg,1,7
03_12_2020_0\output_0015\0000776_z07_x07.jpg,7,7
03_13_2020_0\output_0007\0000165_z07_x07.jpg,7,7
03_10_2020_1\output_0014\0000378_z03_x06.jpg,3,6
03_12_2020_0\output_0004\0000015_z08_x06.jpg,8,6
03_13_2020_0\output_0005\0000702_z07_x07.jpg,7,7
03_12_2020_0\output_0011\0000502_z08_x07.jpg,8,7
03_06_2020_0\output_0010\0001312_z09_x07.jpg,9,7
03_13_2020_1\output_0009\0000460_z05_x06.jpg,5,6
03_09_2020_1\output_0014\0000036_z05_x06.jpg,5,6
03_06_2020_0\output_0010\0000417_z08_x07.jpg,8,7
03_06_2020_0\output_0008\0001128_z02_x06.jpg,2,6
03_09_2020_1\output_0043\0000667_z04_x07.jpg,4,7
03_12_2020_0\output_0004\0000178_z05_x07.jpg,5,7
03_13_2020_0\output_0001\0000196_z07_x06.jpg,7,6
03_10_2020_1\output_0008\0000173_z05_x06.jpg,5,6
03_10_2020_1\output_0007\0000088_z02_x06.jpg,2,6
03_09_2020_1\output_0013\0000391_z00_x06.jpg,0,6
03_09_2020_1\output_0026\0000574_z02_x07.jpg,2,7
03_09_2020_1\output_0035\0000864_z00_x06.jpg,0,6
03_10_2020_1\output_0014\0000484_z01_x06.jpg,1,6
03_13_2020_1\output_0004\0000656_z05_x07.jpg,5,7
03_09_2020_1\output_0029\0000375_z05_x06.jpg,5,6
03_16_2020_0\output_0002\0000176_z05_x06.jpg,5,6
03_10_2020_1\output_0006\0000801_z05_x06.jpg,5,6
03_09_2020_1\output_0042\0000803_z01_x06.jpg,1,6
03_13_2020_0\output_0003\0000041_z06_x06.jpg,6,6
03_12_2020_0\output_0005\0000748_z07_x07.jpg,7,7
03_06_2020_0\output_0010\0001494_z10_x07.jpg,10,7
03_13_2020_0\output_0000\0000427_z05_x07.jpg,5,7
03_13_2020_1\output_0010\0000058_z03_x06.jpg,3,6
03_12_2020_0\output_0013\0000067_z05_x06.jpg,5,6
03_09_2020_1\output_0038\0000425_z05_x07.jpg,5,7
03_06_2020_0\output_0004\0001176_z02_x06.jpg,2,6
03_06_2020_0\output_0009\0001460_z00_x07.jpg,0,7
03_09_2020_1\output_0042\0000680_z03_x07.jpg,3,7
03_13_2020_0\output_0006\0000662_z06_x07.jpg,6,7
03_10_2020_1\output_0005\0000273_z00_x06.jpg,0,6
03_06_2020_0\output_0002\0000989_z10_x06.jpg,10,6
03_06_2020_0\output_0008\0001277_z05_x06.jpg,5,6
03_06_2020_0\output_0008\0000765_z02_x06.jpg,2,6
03_13_2020_0\output_0004\0000514_z07_x06.jpg,7,6
03_13_2020_1\output_0004\0000910_z05_x07.jpg,5,7
03_13_2020_0\output_0002\0000646_z05_x06.jpg,5,6
03_09_2020_1\output_0041\0000116_z04_x06.jpg,4,6
03_12_2020_0\output_0012\0000672_z07_x07.jpg,7,7
03_06_2020_0\output_0005\0001199_z06_x07.jpg,6,7
03_12_2020_0\output_0012\0001132_z05_x07.jpg,5,7
03_13_2020_1\output_0006\0000926_z03_x06.jpg,3,6
03_13_2020_1\output_0009\0000065_z03_x06.jpg,3,6
03_09_2020_1\output_0023\0000512_z03_x07.jpg,3,7
03_09_2020_1\output_0030\0000545_z07_x07.jpg,7,7
03_06_2020_0\output_0006\0000231_z02_x06.jpg,2,6
03_16_2020_0\output_0005\0000417_z05_x06.jpg,5,6
03_06_2020_0\output_0003\0001535_z10_x07.jpg,10,7
JetBot\2021-10-08-20-32\0001887_z05_x07.jpg,5,7
03_06_2020_0\output_0009\0000695_z01_x07.jpg,1,7
03_06_2020_0\output_0009\0000098_z04_x07.jpg,4,7
03_13_2020_1\output_0002\0000191_z02_x07.jpg,2,7
03_09_2020_1\output_0042\0000524_z04_x07.jpg,4,7
03_12_2020_0\output_0015\0000855_z06_x07.jpg,6,7
03_10_2020_1\output_0007\0000263_z03_x06.jpg,3,6
03_09_2020_1\output_0034\0000467_z02_x07.jpg,2,7
03_12_2020_0\output_0003\0000080_z05_x07.jpg,5,7
03_13_2020_0\output_0004\0000758_z09_x07.jpg,9,7
03_12_2020_0\output_0000\0000425_z05_x06.jpg,5,6
03_12_2020_0\output_0001\0000315_z05_x06.jpg,5,6
03_09_2020_1\output_0027\0000176_z03_x08.jpg,3,8
03_10_2020_1\output_0004\0000911_z05_x06.jpg,5,6
03_09_2020_1\output_0041\0000642_z02_x06.jpg,2,6
03_13_2020_1\output_0005\0000502_z03_x07.jpg,3,7
03_09_2020_1\output_0034\0000507_z05_x07.jpg,5,7
03_09_2020_1\output_0036\0000756_z05_x06.jpg,5,6
03_16_2020_0\output_0006\0000445_z06_x06.jpg,6,6
03_06_2020_0\output_0004\0000257_z04_x07.jpg,4,7
03_06_2020_0\output_0006\0001429_z05_x07.jpg,5,7
03_10_2020_1\output_0001\0000124_z03_x06.jpg,3,6
JetBot\2021-10-08-20-32\0000134_z05_x10.jpg,5,10
03_10_2020_1\output_0014\0000297_z01_x06.jpg,1,6
03_10_2020_1\output_0011\0001064_z03_x06.jpg,3,6
03_09_2020_1\output_0018\0000327_z01_x07.jpg,1,7
03_10_2020_1\output_0008\0001011_z04_x06.jpg,4,6
03_12_2020_0\output_0015\0000352_z05_x07.jpg,5,7
03_06_2020_0\output_0004\0000182_z02_x06.jpg,2,6
03_09_2020_1\output_0029\0000632_z04_x06.jpg,4,6
03_10_2020_1\output_0011\0001087_z02_x06.jpg,2,6
03_09_2020_1\output_0031\0000185_z05_x06.jpg,5,6
03_13_2020_1\output_0006\0000776_z03_x07.jpg,3,7
03_09_2020_1\output_0014\0000724_z03_x07.jpg,3,7
03_06_2020_0\output_0002\0000711_z05_x06.jpg,5,6
03_06_2020_0\output_0011\0001145_z01_x07.jpg,1,7
03_13_2020_0\output_0006\0000039_z07_x07.jpg,7,7
03_12_2020_0\output_0012\0000616_z05_x07.jpg,5,7
03_12_2020_0\output_0015\0000366_z08_x07.jpg,8,7
03_06_2020_0\output_0008\0001161_z02_x07.jpg,2,7
03_16_2020_0\output_0002\0000563_z07_x06.jpg,7,6
03_13_2020_1\output_0003\0000880_z03_x07.jpg,3,7
03_10_2020_1\output_0000\0000013_z05_x07.jpg,5,7
03_10_2020_1\output_0012\0000825_z03_x06.jpg,3,6
03_06_2020_0\output_0011\0000290_z02_x07.jpg,2,7
JetBot\2021-10-08-20-32\0002158_z00_x07.jpg,0,7
03_06_2020_0\output_0006\0001185_z02_x06.jpg,2,6
03_09_2020_1\output_0024\0000175_z05_x07.jpg,5,7
03_12_2020_0\output_0003\0000259_z07_x07.jpg,7,7
03_06_2020_0\output_0011\0000608_z02_x07.jpg,2,7
03_12_2020_0\output_0015\0000312_z05_x07.jpg,5,7
03_16_2020_0\output_0001\0000049_z05_x06.jpg,5,6
03_10_2020_1\output_0009\0000304_z02_x06.jpg,2,6
03_13_2020_1\output_0007\0001017_z01_x06.jpg,1,6
03_16_2020_0\output_0002\0000769_z05_x07.jpg,5,7
03_13_2020_1\output_0008\0000626_z02_x07.jpg,2,7
03_09_2020_1\output_0034\0000184_z05_x06.jpg,5,6
03_12_2020_0\output_0002\0000715_z07_x06.jpg,7,6
03_13_2020_1\output_0003\0000714_z03_x06.jpg,3,6
03_12_2020_0\output_0005\0000121_z07_x07.jpg,7,7
03_09_2020_1\output_0041\0000119_z03_x06.jpg,3,6
03_12_2020_0\output_0010\0000462_z05_x07.jpg,5,7
03_13_2020_1\output_0001\0000477_z02_x06.jpg,2,6
03_12_2020_0\output_0003\0000746_z08_x06.jpg,8,6
03_09_2020_1\output_0016\0000616_z05_x06.jpg,5,6
03_09_2020_1\output_0023\0000343_z04_x06.jpg,4,6
03_10_2020_1\output_0014\0000660_z03_x06.jpg,3,6
03_16_2020_0\output_0004\0000553_z06_x07.jpg,6,7
03_06_2020_0\output_0011\0000114_z01_x07.jpg,1,7
03_10_2020_1\output_0015\0000059_z01_x06.jpg,1,6
03_12_2020_0\output_0000\0000718_z05_x07.jpg,5,7
03_10_2020_1\output_0014\0000394_z04_x06.jpg,4,6
03_10_2020_1\output_0007\0000487_z02_x06.jpg,2,6
03_10_2020_1\output_0011\0000945_z01_x06.jpg,1,6
03_09_2020_1\output_0031\0000805_z03_x07.jpg,3,7
03_13_2020_0\output_0003\0000134_z07_x07.jpg,7,7
03_09_2020_1\output_0033\0000047_z01_x07.jpg,1,7
03_12_2020_0\output_0003\0001135_z08_x07.jpg,8,7
03_13_2020_0\output_0001\0000742_z06_x06.jpg,6,6
03_13_2020_1\output_0001\0000329_z02_x06.jpg,2,6
03_12_2020_0\output_0009\0000519_z08_x07.jpg,8,7
03_09_2020_1\output_0035\0000620_z03_x07.jpg,3,7
03_12_2020_0\output_0003\0000423_z08_x07.jpg,8,7
03_12_2020_0\output_0012\0001055_z07_x06.jpg,7,6
03_06_2020_0\output_0003\0001605_z05_x07.jpg,5,7
03_12_2020_0\output_0009\0000446_z07_x06.jpg,7,6
03_09_2020_1\output_0038\0000242_z01_x06.jpg,1,6
03_09_2020_1\output_0026\0000532_z03_x07.jpg,3,7
03_12_2020_0\output_0008\0000424_z05_x07.jpg,5,7
03_16_2020_0\output_0003\0000383_z05_x07.jpg,5,7
03_13_2020_0\output_0001\0000027_z06_x07.jpg,6,7
03_13_2020_0\output_0003\0000423_z05_x06.jpg,5,6
03_12_2020_0\output_0015\0000544_z07_x07.jpg,7,7
03_12_2020_0\output_0010\0000104_z10_x06.jpg,10,6
03_16_2020_0\output_0003\0000478_z06_x06.jpg,6,6
03_06_2020_0\output_0003\0001595_z08_x07.jpg,8,7
03_10_2020_1\output_0006\0000673_z03_x06.jpg,3,6
03_06_2020_0\output_0003\0000294_z09_x06.jpg,9,6
03_06_2020_0\output_0008\0000433_z05_x06.jpg,5,6
03_12_2020_0\output_0002\0000474_z07_x07.jpg,7,7
03_06_2020_0\output_0011\0000118_z05_x07.jpg,5,7
03_10_2020_1\output_0012\0000307_z04_x06.jpg,4,6
03_06_2020_0\output_0009\0000418_z02_x06.jpg,2,6
03_10_2020_1\output_0010\0000982_z02_x06.jpg,2,6
03_09_2020_1\output_0037\0000649_z05_x07.jpg,5,7
03_09_2020_1\output_0022\0000235_z02_x07.jpg,2,7
03_12_2020_0\output_0004\0000458_z08_x07.jpg,8,7
03_13_2020_1\output_0006\0000074_z03_x06.jpg,3,6
03_12_2020_0\output_0010\0000982_z07_x07.jpg,7,7
03_13_2020_1\output_0001\0000032_z03_x07.jpg,3,7
03_12_2020_0\output_0007\0000273_z08_x06.jpg,8,6
03_09_2020_1\output_0044\0000310_z03_x08.jpg,3,8
03_09_2020_1\output_0025\0000716_z04_x07.jpg,4,7
03_13_2020_0\output_0005\0000344_z07_x07.jpg,7,7
03_10_2020_1\output_0013\0000212_z02_x06.jpg,2,6
03_10_2020_1\output_0007\0000022_z04_x06.jpg,4,6
03_13_2020_1\output_0011\0000740_z04_x06.jpg,4,6
03_09_2020_1\output_0037\0000459_z02_x07.jpg,2,7
03_13_2020_0\output_0006\0000421_z06_x07.jpg,6,7
03_10_2020_1\output_0007\0000426_z02_x06.jpg,2,6
03_12_2020_0\output_0013\0000392_z07_x07.jpg,7,7
03_16_2020_0\output_0005\0000528_z08_x07.jpg,8,7
03_09_2020_1\output_0036\0000509_z01_x07.jpg,1,7
03_09_2020_1\output_0030\0000671_z03_x06.jpg,3,6
03_13_2020_1\output_0008\0000598_z04_x06.jpg,4,6
03_09_2020_1\output_0014\0000723_z05_x07.jpg,5,7
03_12_2020_0\output_0006\0000719_z10_x06.jpg,10,6
03_13_2020_1\output_0009\0000150_z02_x06.jpg,2,6
03_09_2020_1\output_0023\0000233_z05_x06.jpg,5,6
03_10_2020_1\output_0010\0000045_z04_x06.jpg,4,6
03_06_2020_0\output_0003\0001385_z09_x06.jpg,9,6
03_13_2020_0\output_0001\0000815_z07_x07.jpg,7,7
03_13_2020_1\output_0011\0000170_z04_x06.jpg,4,6
03_13_2020_1\output_0012\0000005_z05_x07.jpg,5,7
03_09_2020_1\output_0013\0000597_z04_x06.jpg,4,6
03_10_2020_1\output_0008\0001044_z03_x06.jpg,3,6
03_10_2020_1\output_0015\0000722_z05_x06.jpg,5,6
03_12_2020_0\output_0009\0000593_z06_x07.jpg,6,7
03_09_2020_1\output_0015\0000662_z00_x06.jpg,0,6
JetBot\2021-10-08-20-32\0000076_z05_x06.jpg,5,6
03_06_2020_0\output_0009\0000377_z05_x07.jpg,5,7
03_10_2020_1\output_0013\0000208_z03_x06.jpg,3,6
03_10_2020_1\output_0008\0000375_z04_x06.jpg,4,6
03_16_2020_0\output_0002\0000447_z07_x07.jpg,7,7
03_12_2020_0\output_0006\0000156_z07_x06.jpg,7,6
03_09_2020_1\output_0035\0000508_z02_x07.jpg,2,7
03_13_2020_1\output_0009\0000237_z02_x06.jpg,2,6
03_09_2020_1\output_0032\0000838_z05_x07.jpg,5,7
03_10_2020_1\output_0014\0000659_z03_x06.jpg,3,6
03_13_2020_1\output_0001\0000927_z01_x06.jpg,1,6
03_16_2020_0\output_0003\0000578_z07_x07.jpg,7,7
03_13_2020_1\output_0007\0000362_z02_x07.jpg,2,7
JetBot\2021-10-08-20-32\0001659_z03_x06.jpg,3,6
03_13_2020_1\output_0002\0000845_z05_x07.jpg,5,7
JetBot\2021-10-08-20-32\0001097_z05_x07.jpg,5,7
03_10_2020_1\output_0009\0000784_z02_x06.jpg,2,6
03_10_2020_1\output_0004\0000957_z04_x06.jpg,4,6
JetBot\2021-10-08-20-32\0000530_z05_x06.jpg,5,6
03_06_2020_0\output_0003\0001021_z05_x07.jpg,5,7
03_13_2020_0\output_0007\0000556_z07_x08.jpg,7,8
03_16_2020_0\output_0004\0000578_z07_x06.jpg,7,6
03_06_2020_0\output_0003\0001028_z05_x07.jpg,5,7
03_10_2020_1\output_0009\0000010_z04_x06.jpg,4,6
03_06_2020_0\output_0011\0001229_z02_x08.jpg,2,8
03_13_2020_1\output_0013\0000310_z03_x08.jpg,3,8
03_12_2020_0\output_0003\0000383_z06_x07.jpg,6,7
03_09_2020_1\output_0036\0000308_z03_x06.jpg,3,6
03_10_2020_1\output_0009\0000876_z04_x06.jpg,4,6
03_13_2020_1\output_0007\0000623_z02_x07.jpg,2,7
03_09_2020_1\output_0036\0000642_z05_x06.jpg,5,6
03_09_2020_1\output_0025\0000662_z03_x07.jpg,3,7
03_09_2020_1\output_0030\0000211_z02_x07.jpg,2,7
03_09_2020_1\output_0016\0000137_z02_x06.jpg,2,6
03_09_2020_1\output_0037\0000442_z03_x07.jpg,3,7
03_06_2020_0\output_0006\0001269_z05_x07.jpg,5,7
03_13_2020_0\output_0004\0000845_z09_x07.jpg,9,7
03_06_2020_0\output_0006\0000242_z02_x06.jpg,2,6
03_10_2020_1\output_0009\0000864_z03_x06.jpg,3,6
03_09_2020_1\output_0036\0000607_z05_x06.jpg,5,6
03_09_2020_1\output_0022\0000345_z02_x07.jpg,2,7
03_13_2020_0\output_0003\0000791_z07_x07.jpg,7,7
03_09_2020_1\output_0029\0000640_z03_x06.jpg,3,6
03_10_2020_1\output_0007\0000858_z01_x06.jpg,1,6
03_06_2020_0\output_0006\0000013_z04_x07.jpg,4,7
03_09_2020_1\output_0036\0000337_z02_x06.jpg,2,6
03_09_2020_1\output_0043\0000725_z05_x07.jpg,5,7
03_12_2020_0\output_0009\0000835_z09_x07.jpg,9,7
03_10_2020_1\output_0015\0000639_z02_x06.jpg,2,6
03_13_2020_1\output_0012\0000073_z05_x07.jpg,5,7
03_09_2020_1\output_0026\0000085_z02_x06.jpg,2,6
03_09_2020_1\output_0036\0000656_z05_x06.jpg,5,6
03_09_2020_1\output_0040\0000052_z05_x07.jpg,5,7
03_12_2020_0\output_0014\0000624_z10_x06.jpg,10,6
JetBot\2021-10-08-20-32\0001136_z02_x07.jpg,2,7
03_09_2020_1\output_0015\0000346_z00_x06.jpg,0,6
03_13_2020_1\output_0001\0000412_z03_x06.jpg,3,6
03_09_2020_1\output_0014\0000718_z01_x07.jpg,1,7
03_09_2020_1\output_0014\0000405_z00_x06.jpg,0,6
03_13_2020_0\output_0006\0000316_z08_x07.jpg,8,7
03_06_2020_0\output_0004\0000605_z05_x07.jpg,5,7
03_10_2020_1\output_0002\0000291_z03_x06.jpg,3,6
03_13_2020_1\output_0013\0000592_z05_x07.jpg,5,7
03_09_2020_1\output_0035\0000727_z02_x06.jpg,2,6
03_13_2020_1\output_0007\0000314_z03_x06.jpg,3,6
JetBot\2021-10-08-20-32\0002150_z01_x09.jpg,1,9
03_12_2020_0\output_0005\0000390_z08_x06.jpg,8,6
03_13_2020_1\output_0008\0000381_z04_x07.jpg,4,7
03_10_2020_1\output_0003\0000855_z04_x06.jpg,4,6
03_09_2020_1\output_0032\0000065_z04_x06.jpg,4,6
03_10_2020_1\output_0006\0000488_z02_x06.jpg,2,6
03_09_2020_1\output_0014\0000512_z05_x06.jpg,5,6
03_13_2020_1\output_0012\0000304_z02_x07.jpg,2,7
03_09_2020_1\output_0042\0000179_z00_x06.jpg,0,6
03_10_2020_1\output_0014\0000638_z02_x06.jpg,2,6
03_10_2020_1\output_0015\0000408_z05_x06.jpg,5,6
03_09_2020_1\output_0025\0000631_z04_x07.jpg,4,7
03_10_2020_1\output_0014\0000213_z03_x06.jpg,3,6
03_13_2020_1\output_0008\0000508_z03_x06.jpg,3,6
03_13_2020_1\output_0009\0000671_z05_x06.jpg,5,6
03_13_2020_1\output_0003\0000473_z05_x06.jpg,5,6
03_06_2020_0\output_0011\0001494_z00_x10.jpg,0,10
03_12_2020_0\output_0002\0000433_z07_x07.jpg,7,7
03_16_2020_0\output_0000\0000332_z05_x07.jpg,5,7
03_06_2020_0\output_0010\0000048_z10_x07.jpg,10,7
03_10_2020_1\output_0006\0000880_z03_x06.jpg,3,6
03_09_2020_1\output_0038\0000547_z03_x07.jpg,3,7
03_09_2020_1\output_0026\0000244_z05_x07.jpg,5,7
03_09_2020_1\output_0017\0000078_z02_x07.jpg,2,7
03_16_2020_0\output_0001\0000403_z06_x07.jpg,6,7
03_06_2020_0\output_0008\0000702_z05_x06.jpg,5,6
03_13_2020_0\output_0002\0000668_z05_x07.jpg,5,7
03_13_2020_0\output_0000\0000034_z09_x07.jpg,9,7
03_06_2020_0\output_0003\0000075_z07_x07.jpg,7,7
03_09_2020_1\output_0043\0000687_z02_x07.jpg,2,7
03_13_2020_0\output_0000\0000180_z07_x06.jpg,7,6
03_09_2020_1\output_0040\0000409_z05_x06.jpg,5,6
03_09_2020_1\output_0025\0000363_z01_x07.jpg,1,7
03_16_2020_0\output_0006\0000156_z07_x06.jpg,7,6
03_09_2020_1\output_0037\0000821_z05_x07.jpg,5,7
03_16_2020_0\output_0003\0000166_z06_x06.jpg,6,6
03_09_2020_1\output_0031\0000201_z03_x06.jpg,3,6
03_10_2020_1\output_0008\0000986_z02_x06.jpg,2,6
03_10_2020_1\output_0013\0000849_z02_x06.jpg,2,6
03_16_2020_0\output_0003\0000392_z06_x07.jpg,6,7
03_13_2020_1\output_0012\0000172_z05_x06.jpg,5,6
03_09_2020_1\output_0042\0000538_z02_x07.jpg,2,7
03_16_2020_0\output_0000\0000834_z06_x07.jpg,6,7
03_09_2020_1\output_0029\0000699_z03_x06.jpg,3,6
03_16_2020_0\output_0004\0000609_z07_x06.jpg,7,6
03_06_2020_0\output_0004\0000427_z03_x06.jpg,3,6
03_09_2020_1\output_0019\0000595_z05_x07.jpg,5,7
03_13_2020_1\output_0011\0000169_z05_x06.jpg,5,6
03_10_2020_1\output_0010\0000395_z03_x06.jpg,3,6
JetBot\2021-10-08-20-32\0002454_z05_x07.jpg,5,7
03_16_2020_0\output_0002\0000366_z08_x06.jpg,8,6
03_12_2020_0\output_0004\0000096_z05_x07.jpg,5,7
03_10_2020_1\output_0001\0000181_z01_x06.jpg,1,6
03_09_2020_1\output_0015\0000617_z09_x07.jpg,9,7
03_13_2020_1\output_0002\0000220_z01_x06.jpg,1,6
03_13_2020_1\output_0002\0000625_z05_x06.jpg,5,6
03_10_2020_1\output_0016\0000175_z04_x07.jpg,4,7
03_09_2020_1\output_0042\0000043_z05_x06.jpg,5,6
03_12_2020_0\output_0013\0001067_z05_x06.jpg,5,6
03_12_2020_0\output_0009\0000142_z06_x07.jpg,6,7
03_09_2020_1\output_0016\0000409_z05_x07.jpg,5,7
03_09_2020_1\output_0021\0000562_z05_x07.jpg,5,7
03_06_2020_0\output_0009\0001080_z00_x06.jpg,0,6
03_12_2020_0\output_0000\0000276_z06_x06.jpg,6,6
03_13_2020_0\output_0005\0000931_z10_x07.jpg,10,7
03_06_2020_0\output_0007\0000375_z06_x07.jpg,6,7
03_13_2020_0\output_0004\0000083_z08_x07.jpg,8,7
03_12_2020_0\output_0002\0000167_z06_x07.jpg,6,7
03_12_2020_0\output_0004\0000629_z09_x07.jpg,9,7
03_12_2020_0\output_0005\0000850_z07_x07.jpg,7,7
03_06_2020_0\output_0007\0000175_z05_x07.jpg,5,7
03_06_2020_0\output_0005\0001313_z05_x07.jpg,5,7
03_09_2020_1\output_0041\0000838_z05_x06.jpg,5,6
03_12_2020_0\output_0010\0000534_z07_x07.jpg,7,7
03_10_2020_1\output_0012\0000496_z03_x06.jpg,3,6
03_09_2020_1\output_0030\0000985_z00_x07.jpg,0,7
03_13_2020_1\output_0003\0000911_z00_x07.jpg,0,7
03_10_2020_1\output_0012\0000583_z01_x06.jpg,1,6
03_09_2020_1\output_0032\0000882_z05_x07.jpg,5,7
03_13_2020_0\output_0005\0000388_z07_x07.jpg,7,7
03_09_2020_1\output_0041\0000199_z04_x06.jpg,4,6
03_12_2020_0\output_0014\0000419_z08_x07.jpg,8,7
03_13_2020_1\output_0010\0000367_z02_x07.jpg,2,7
03_16_2020_0\output_0005\0000396_z08_x07.jpg,8,7
03_09_2020_1\output_0029\0000670_z02_x06.jpg,2,6
03_06_2020_0\output_0011\0000796_z01_x06.jpg,1,6
03_09_2020_1\output_0030\0000785_z02_x07.jpg,2,7
03_12_2020_0\output_0014\0000365_z06_x07.jpg,6,7
03_09_2020_1\output_0022\0000448_z05_x07.jpg,5,7
03_10_2020_1\output_0007\0000463_z03_x06.jpg,3,6
03_12_2020_0\output_0006\0000347_z06_x07.jpg,6,7
03_09_2020_1\output_0031\0000551_z02_x07.jpg,2,7
03_13_2020_0\output_0005\0000164_z09_x06.jpg,9,6
03_09_2020_1\output_0024\0000096_z00_x07.jpg,0,7
03_10_2020_1\output_0004\0000727_z02_x06.jpg,2,6
03_09_2020_1\output_0040\0000559_z03_x07.jpg,3,7
03_13_2020_0\output_0007\0000065_z06_x07.jpg,6,7
03_12_2020_0\output_0003\0000330_z08_x07.jpg,8,7
03_06_2020_0\output_0009\0001200_z01_x07.jpg,1,7
JetBot\2021-10-08-20-32\0000310_z00_x08.jpg,0,8
03_10_2020_1\output_0008\0001019_z03_x06.jpg,3,6
03_13_2020_0\output_0002\0000931_z07_x07.jpg,7,7
03_06_2020_0\output_0010\0001066_z05_x07.jpg,5,7
03_12_2020_0\output_0002\0001054_z07_x07.jpg,7,7
03_13_2020_1\output_0007\0000320_z05_x06.jpg,5,6
03_13_2020_0\output_0004\0000491_z05_x06.jpg,5,6
03_09_2020_1\output_0043\0000101_z05_x06.jpg,5,6
03_16_2020_0\output_0004\0000453_z06_x06.jpg,6,6
03_10_2020_1\output_0002\0000300_z03_x06.jpg,3,6
03_06_2020_0\output_0011\0000780_z02_x07.jpg,2,7
03_13_2020_0\output_0001\0000518_z07_x07.jpg,7,7
03_09_2020_1\output_0030\0000628_z02_x07.jpg,2,7
03_13_2020_0\output_0000\0000634_z08_x07.jpg,8,7
03_09_2020_1\output_0040\0000482_z02_x07.jpg,2,7
03_09_2020_1\output_0043\0000643_z03_x07.jpg,3,7
03_09_2020_1\output_0043\0000466_z05_x07.jpg,5,7
03_13_2020_1\output_0009\0000682_z03_x06.jpg,3,6
03_13_2020_1\output_0007\0000977_z04_x07.jpg,4,7
03_10_2020_1\output_0008\0000189_z03_x06.jpg,3,6
03_10_2020_1\output_0009\0000770_z03_x06.jpg,3,6
03_10_2020_1\output_0008\0000519_z01_x06.jpg,1,6
03_10_2020_1\output_0000\0000288_z05_x06.jpg,5,6
